place,Jurisdiction,Name,Value,year,Jurisdiction 2
45970,Longmont,Median Monthly Owner Costs,1418.0,2010,Longmont
46355,Louisville,Median Monthly Owner Costs,1688.0,2010,Louisville
47070,Lyons,Median Monthly Owner Costs,1747.0,2010,Lyons
49600,Mead,Median Monthly Owner Costs,1799.0,2010,Mead
52075,Morrison,Median Monthly Owner Costs,792.0,2010,Morrison
52350,Mountain View,Median Monthly Owner Costs,1259.0,2010,Mountain View
53175,Nederland,Median Monthly Owner Costs,1580.0,2010,Nederland
54330,Northglenn,Median Monthly Owner Costs,1426.0,2010,Northglenn
57630,Parker,Median Monthly Owner Costs,1951.0,2010,Parker
60160,Platteville,Median Monthly Owner Costs,1219.0,2010,Platteville
69645,Sheridan,Median Monthly Owner Costs,779.0,2010,Sheridan
70360,Silver Plume,Median Monthly Owner Costs,1481.0,2010,Silver Plume
75640,Superior,Median Monthly Owner Costs,2151.0,2010,Superior
77290,Thornton,Median Monthly Owner Costs,1622.0,2010,Thornton
82735,Ward,Median Monthly Owner Costs,606.0,2010,Ward
83835,Westminster,Median Monthly Owner Costs,1507.0,2010,Westminster
84440,Wheat Ridge,Median Monthly Owner Costs,1188.0,2010,Wheat Ridge
8124,Weld County (DRCOG),Median Monthly Owner Costs,1578.4769067079365,2010,Weld County (DRCOG)
8000,Region,Median Monthly Owner Costs,1522.8245825731944,2010,Region
3455,Arvada,Single Occupancy Commuters,79.54202220040776,2010,Arvada
4000,Aurora,Single Occupancy Commuters,76.63905063373585,2010,Aurora
6090,Bennett,Single Occupancy Commuters,87.34419942473633,2010,Bennett
7025,Black Hawk,Single Occupancy Commuters,68.4931506849315,2010,Black Hawk
7850,Boulder City,Single Occupancy Commuters,53.09404475314732,2010,Boulder City
8001,Adams County,Single Occupancy Commuters,76.24674289792866,2010,Adams County
8005,Arapahoe County,Single Occupancy Commuters,78.02583439109983,2010,Arapahoe County
8013,Boulder County,Single Occupancy Commuters,66.16678980544074,2010,Boulder County
8014,Broomfield City/County,Single Occupancy Commuters,75.38262090820699,2010,Broomfield City/County
8019,Clear Creek County,Single Occupancy Commuters,74.69810235767683,2010,Clear Creek County
8031,Denver City/County,Single Occupancy Commuters,69.33676785182377,2010,Denver City/County
8035,Douglas County,Single Occupancy Commuters,78.48545708344017,2010,Douglas County
8047,Gilpin County,Single Occupancy Commuters,71.86374058303308,2010,Gilpin County
8059,Jefferson County,Single Occupancy Commuters,77.530116976081,2010,Jefferson County
8070,Bow Mar,Single Occupancy Commuters,81.76638176638177,2010,Bow Mar
8123,Weld County,Single Occupancy Commuters,79.0662325436786,2010,Weld County
8675,Brighton,Single Occupancy Commuters,78.21394197717585,2010,Brighton
12390,Castle Pines North,Single Occupancy Commuters,77.22567287784679,2010,Castle Pines North
12415,Castle Rock,Single Occupancy Commuters,76.91439407621456,2010,Castle Rock
12815,Centennial,Single Occupancy Commuters,79.58257368580979,2010,Centennial
12910,Central City,Single Occupancy Commuters,64.78405315614619,2010,Central City
13845,Cherry Hills Village,Single Occupancy Commuters,75.26051717483597,2010,Cherry Hills Village
16385,Columbine Valley,Single Occupancy Commuters,76.40845070422536,2010,Columbine Valley
16495,Commerce City,Single Occupancy Commuters,75.02421122381365,2010,Commerce City
19080,Dacono,Single Occupancy Commuters,87.1975806451613,2010,Dacono
19630,Deer Trail,Single Occupancy Commuters,82.73809523809524,2010,Deer Trail
23135,Edgewater,Single Occupancy Commuters,70.84708470847085,2010,Edgewater
23740,Elizabeth,Single Occupancy Commuters,85.16042780748663,2010,Elizabeth
24620,Empire,Single Occupancy Commuters,64.43514644351464,2010,Empire
24785,Englewood,Single Occupancy Commuters,72.99993878925139,2010,Englewood
24950,Erie,Single Occupancy Commuters,77.1438866202258,2010,Erie
26270,Federal Heights,Single Occupancy Commuters,69.18446601941747,2010,Federal Heights
26600,Firestone,Single Occupancy Commuters,80.30164533820842,2010,Firestone
27700,Fort Lupton,Single Occupancy Commuters,76.71194114318054,2010,Fort Lupton
28105,Foxfield,Single Occupancy Commuters,72.95918367346938,2010,Foxfield
28360,Frederick,Single Occupancy Commuters,77.66398439405023,2010,Frederick
29735,Georgetown,Single Occupancy Commuters,75.0,2010,Georgetown
30340,Glendale,Single Occupancy Commuters,72.14363438520131,2010,Glendale
30835,Golden,Single Occupancy Commuters,72.12460924867953,2010,Golden
33035,Greenwood Village,Single Occupancy Commuters,78.2240071396698,2010,Greenwood Village
37820,Hudson,Single Occupancy Commuters,73.25153374233129,2010,Hudson
38370,Idaho Springs,Single Occupancy Commuters,71.74849267872524,2010,Idaho Springs
39195,Jamestown,Single Occupancy Commuters,75.4601226993865,2010,Jamestown
40185,Keenesburg,Single Occupancy Commuters,80.51948051948052,2010,Keenesburg
40790,Kiowa,Single Occupancy Commuters,71.16279069767442,2010,Kiowa
41835,Lafayette,Single Occupancy Commuters,72.30721441329503,2010,Lafayette
42495,Lakeside,Single Occupancy Commuters,5.2631578947368425,2010,Lakeside
43000,Lakewood,Single Occupancy Commuters,76.58528432751633,2010,Lakewood
43550,Larkspur,Single Occupancy Commuters,72.94117647058823,2010,Larkspur
45255,Littleton,Single Occupancy Commuters,76.90175699084385,2010,Littleton
45955,Lone Tree,Single Occupancy Commuters,76.92007797270955,2010,Lone Tree
45970,Longmont,Single Occupancy Commuters,75.54811429130105,2010,Longmont
46355,Louisville,Single Occupancy Commuters,76.67653363274472,2010,Louisville
47070,Lyons,Single Occupancy Commuters,58.38926174496644,2010,Lyons
49600,Mead,Single Occupancy Commuters,81.7816091954023,2010,Mead
52075,Morrison,Single Occupancy Commuters,78.125,2010,Morrison
52350,Mountain View,Single Occupancy Commuters,69.56521739130434,2010,Mountain View
53175,Nederland,Single Occupancy Commuters,59.025032938076414,2010,Nederland
54330,Northglenn,Single Occupancy Commuters,77.245128086509,2010,Northglenn
57630,Parker,Single Occupancy Commuters,80.2018599321257,2010,Parker
60160,Platteville,Single Occupancy Commuters,81.50807899461401,2010,Platteville
69645,Sheridan,Single Occupancy Commuters,59.28,2010,Sheridan
70360,Silver Plume,Single Occupancy Commuters,60.57692307692308,2010,Silver Plume
75640,Superior,Single Occupancy Commuters,72.69025994362669,2010,Superior
77290,Thornton,Single Occupancy Commuters,78.13378498716628,2010,Thornton
82735,Ward,Single Occupancy Commuters,58.333333333333336,2010,Ward
83835,Westminster,Single Occupancy Commuters,79.37079298801339,2010,Westminster
84440,Wheat Ridge,Single Occupancy Commuters,73.47751094599974,2010,Wheat Ridge
8124,Weld County (DRCOG),Single Occupancy Commuters,79.19217533055605,2010,Weld County (DRCOG)
8000,Region,Single Occupancy Commuters,74.57891367278312,2010,Region
3455,Arvada,"Household Income $0 to $9,999",1716.0,2010,Arvada
4000,Aurora,"Household Income $0 to $9,999",9263.0,2010,Aurora
6090,Bennett,"Household Income $0 to $9,999",31.0,2010,Bennett
7025,Black Hawk,"Household Income $0 to $9,999",3.0,2010,Black Hawk
7850,Boulder City,"Household Income $0 to $9,999",4869.0,2010,Boulder City
8001,Adams County,"Household Income $0 to $9,999",8153.0,2010,Adams County
8005,Arapahoe County,"Household Income $0 to $9,999",13577.0,2010,Arapahoe County
8013,Boulder County,"Household Income $0 to $9,999",8163.0,2010,Boulder County
8014,Broomfield City/County,"Household Income $0 to $9,999",649.0,2010,Broomfield City/County
8019,Clear Creek County,"Household Income $0 to $9,999",121.0,2010,Clear Creek County
8031,Denver City/County,"Household Income $0 to $9,999",25402.0,2010,Denver City/County
8035,Douglas County,"Household Income $0 to $9,999",1704.0,2010,Douglas County
8047,Gilpin County,"Household Income $0 to $9,999",79.0,2010,Gilpin County
8059,Jefferson County,"Household Income $0 to $9,999",9533.0,2010,Jefferson County
8070,Bow Mar,"Household Income $0 to $9,999",2.0,2010,Bow Mar
8123,Weld County,"Household Income $0 to $9,999",5421.0,2010,Weld County
8675,Brighton,"Household Income $0 to $9,999",442.0,2010,Brighton
12390,Castle Pines North,"Household Income $0 to $9,999",0.0,2010,Castle Pines North
12415,Castle Rock,"Household Income $0 to $9,999",447.0,2010,Castle Rock
12815,Centennial,"Household Income $0 to $9,999",876.0,2010,Centennial
12910,Central City,"Household Income $0 to $9,999",0.0,2010,Central City
13845,Cherry Hills Village,"Household Income $0 to $9,999",31.0,2010,Cherry Hills Village
16385,Columbine Valley,"Household Income $0 to $9,999",0.0,2010,Columbine Valley
16495,Commerce City,"Household Income $0 to $9,999",864.0,2010,Commerce City
19080,Dacono,"Household Income $0 to $9,999",40.0,2010,Dacono
19630,Deer Trail,"Household Income $0 to $9,999",21.0,2010,Deer Trail
23135,Edgewater,"Household Income $0 to $9,999",240.0,2010,Edgewater
23740,Elizabeth,"Household Income $0 to $9,999",12.0,2010,Elizabeth
24620,Empire,"Household Income $0 to $9,999",13.0,2010,Empire
24785,Englewood,"Household Income $0 to $9,999",973.0,2010,Englewood
24950,Erie,"Household Income $0 to $9,999",142.0,2010,Erie
26270,Federal Heights,"Household Income $0 to $9,999",475.0,2010,Federal Heights
26600,Firestone,"Household Income $0 to $9,999",135.0,2010,Firestone
27700,Fort Lupton,"Household Income $0 to $9,999",78.0,2010,Fort Lupton
28105,Foxfield,"Household Income $0 to $9,999",10.0,2010,Foxfield
28360,Frederick,"Household Income $0 to $9,999",16.0,2010,Frederick
29735,Georgetown,"Household Income $0 to $9,999",13.0,2010,Georgetown
30340,Glendale,"Household Income $0 to $9,999",355.0,2010,Glendale
30835,Golden,"Household Income $0 to $9,999",778.0,2010,Golden
33035,Greenwood Village,"Household Income $0 to $9,999",252.0,2010,Greenwood Village
37820,Hudson,"Household Income $0 to $9,999",88.0,2010,Hudson
38370,Idaho Springs,"Household Income $0 to $9,999",16.0,2010,Idaho Springs
39195,Jamestown,"Household Income $0 to $9,999",0.0,2010,Jamestown
40185,Keenesburg,"Household Income $0 to $9,999",26.0,2010,Keenesburg
40790,Kiowa,"Household Income $0 to $9,999",14.0,2010,Kiowa
41835,Lafayette,"Household Income $0 to $9,999",580.0,2010,Lafayette
42495,Lakeside,"Household Income $0 to $9,999",0.0,2010,Lakeside
43000,Lakewood,"Household Income $0 to $9,999",3771.0,2010,Lakewood
43550,Larkspur,"Household Income $0 to $9,999",3.0,2010,Larkspur
45255,Littleton,"Household Income $0 to $9,999",1283.0,2010,Littleton
45955,Lone Tree,"Household Income $0 to $9,999",68.0,2010,Lone Tree
45970,Longmont,"Household Income $0 to $9,999",1669.0,2010,Longmont
46355,Louisville,"Household Income $0 to $9,999",279.0,2010,Louisville
47070,Lyons,"Household Income $0 to $9,999",27.0,2010,Lyons
49600,Mead,"Household Income $0 to $9,999",0.0,2010,Mead
52075,Morrison,"Household Income $0 to $9,999",0.0,2010,Morrison
52350,Mountain View,"Household Income $0 to $9,999",30.0,2010,Mountain View
53175,Nederland,"Household Income $0 to $9,999",46.0,2010,Nederland
54330,Northglenn,"Household Income $0 to $9,999",622.0,2010,Northglenn
57630,Parker,"Household Income $0 to $9,999",349.0,2010,Parker
60160,Platteville,"Household Income $0 to $9,999",38.0,2010,Platteville
69645,Sheridan,"Household Income $0 to $9,999",219.0,2010,Sheridan
70360,Silver Plume,"Household Income $0 to $9,999",6.0,2010,Silver Plume
75640,Superior,"Household Income $0 to $9,999",125.0,2010,Superior
77290,Thornton,"Household Income $0 to $9,999",1239.0,2010,Thornton
82735,Ward,"Household Income $0 to $9,999",3.0,2010,Ward
83835,Westminster,"Household Income $0 to $9,999",1823.0,2010,Westminster
84440,Wheat Ridge,"Household Income $0 to $9,999",876.0,2010,Wheat Ridge
8124,Weld County (DRCOG),"Household Income $0 to $9,999",523.0,2010,Weld County (DRCOG)
8000,Region,"Household Income $0 to $9,999",67904.0,2010,Region
3455,Arvada,"Household Income $10,000 to $14,999",1406.0,2010,Arvada
4000,Aurora,"Household Income $10,000 to $14,999",6291.0,2010,Aurora
6090,Bennett,"Household Income $10,000 to $14,999",8.0,2010,Bennett
7025,Black Hawk,"Household Income $10,000 to $14,999",0.0,2010,Black Hawk
7850,Boulder City,"Household Income $10,000 to $14,999",2199.0,2010,Boulder City
8001,Adams County,"Household Income $10,000 to $14,999",6506.0,2010,Adams County
8005,Arapahoe County,"Household Income $10,000 to $14,999",9137.0,2010,Arapahoe County
8013,Boulder County,"Household Income $10,000 to $14,999",4617.0,2010,Boulder County
8014,Broomfield City/County,"Household Income $10,000 to $14,999",508.0,2010,Broomfield City/County
8019,Clear Creek County,"Household Income $10,000 to $14,999",308.0,2010,Clear Creek County
8031,Denver City/County,"Household Income $10,000 to $14,999",16137.0,2010,Denver City/County
8035,Douglas County,"Household Income $10,000 to $14,999",1309.0,2010,Douglas County
8047,Gilpin County,"Household Income $10,000 to $14,999",26.0,2010,Gilpin County
8059,Jefferson County,"Household Income $10,000 to $14,999",7086.0,2010,Jefferson County
8070,Bow Mar,"Household Income $10,000 to $14,999",4.0,2010,Bow Mar
8123,Weld County,"Household Income $10,000 to $14,999",4724.0,2010,Weld County
8675,Brighton,"Household Income $10,000 to $14,999",428.0,2010,Brighton
12390,Castle Pines North,"Household Income $10,000 to $14,999",11.0,2010,Castle Pines North
12415,Castle Rock,"Household Income $10,000 to $14,999",390.0,2010,Castle Rock
12815,Centennial,"Household Income $10,000 to $14,999",551.0,2010,Centennial
12910,Central City,"Household Income $10,000 to $14,999",26.0,2010,Central City
13845,Cherry Hills Village,"Household Income $10,000 to $14,999",28.0,2010,Cherry Hills Village
16385,Columbine Valley,"Household Income $10,000 to $14,999",8.0,2010,Columbine Valley
16495,Commerce City,"Household Income $10,000 to $14,999",559.0,2010,Commerce City
19080,Dacono,"Household Income $10,000 to $14,999",66.0,2010,Dacono
19630,Deer Trail,"Household Income $10,000 to $14,999",31.0,2010,Deer Trail
23135,Edgewater,"Household Income $10,000 to $14,999",106.0,2010,Edgewater
23740,Elizabeth,"Household Income $10,000 to $14,999",12.0,2010,Elizabeth
24620,Empire,"Household Income $10,000 to $14,999",9.0,2010,Empire
24785,Englewood,"Household Income $10,000 to $14,999",1178.0,2010,Englewood
24950,Erie,"Household Income $10,000 to $14,999",72.0,2010,Erie
26270,Federal Heights,"Household Income $10,000 to $14,999",361.0,2010,Federal Heights
26600,Firestone,"Household Income $10,000 to $14,999",0.0,2010,Firestone
27700,Fort Lupton,"Household Income $10,000 to $14,999",147.0,2010,Fort Lupton
28105,Foxfield,"Household Income $10,000 to $14,999",0.0,2010,Foxfield
28360,Frederick,"Household Income $10,000 to $14,999",64.0,2010,Frederick
29735,Georgetown,"Household Income $10,000 to $14,999",18.0,2010,Georgetown
30340,Glendale,"Household Income $10,000 to $14,999",267.0,2010,Glendale
30835,Golden,"Household Income $10,000 to $14,999",364.0,2010,Golden
33035,Greenwood Village,"Household Income $10,000 to $14,999",57.0,2010,Greenwood Village
37820,Hudson,"Household Income $10,000 to $14,999",7.0,2010,Hudson
38370,Idaho Springs,"Household Income $10,000 to $14,999",192.0,2010,Idaho Springs
39195,Jamestown,"Household Income $10,000 to $14,999",0.0,2010,Jamestown
40185,Keenesburg,"Household Income $10,000 to $14,999",15.0,2010,Keenesburg
40790,Kiowa,"Household Income $10,000 to $14,999",30.0,2010,Kiowa
41835,Lafayette,"Household Income $10,000 to $14,999",214.0,2010,Lafayette
42495,Lakeside,"Household Income $10,000 to $14,999",0.0,2010,Lakeside
43000,Lakewood,"Household Income $10,000 to $14,999",2471.0,2010,Lakewood
43550,Larkspur,"Household Income $10,000 to $14,999",0.0,2010,Larkspur
45255,Littleton,"Household Income $10,000 to $14,999",861.0,2010,Littleton
45955,Lone Tree,"Household Income $10,000 to $14,999",36.0,2010,Lone Tree
45970,Longmont,"Household Income $10,000 to $14,999",1382.0,2010,Longmont
46355,Louisville,"Household Income $10,000 to $14,999",212.0,2010,Louisville
47070,Lyons,"Household Income $10,000 to $14,999",32.0,2010,Lyons
49600,Mead,"Household Income $10,000 to $14,999",17.0,2010,Mead
52075,Morrison,"Household Income $10,000 to $14,999",5.0,2010,Morrison
52350,Mountain View,"Household Income $10,000 to $14,999",11.0,2010,Mountain View
53175,Nederland,"Household Income $10,000 to $14,999",32.0,2010,Nederland
54330,Northglenn,"Household Income $10,000 to $14,999",456.0,2010,Northglenn
57630,Parker,"Household Income $10,000 to $14,999",206.0,2010,Parker
60160,Platteville,"Household Income $10,000 to $14,999",20.0,2010,Platteville
69645,Sheridan,"Household Income $10,000 to $14,999",166.0,2010,Sheridan
70360,Silver Plume,"Household Income $10,000 to $14,999",2.0,2010,Silver Plume
75640,Superior,"Household Income $10,000 to $14,999",70.0,2010,Superior
77290,Thornton,"Household Income $10,000 to $14,999",1173.0,2010,Thornton
82735,Ward,"Household Income $10,000 to $14,999",0.0,2010,Ward
83835,Westminster,"Household Income $10,000 to $14,999",1219.0,2010,Westminster
84440,Wheat Ridge,"Household Income $10,000 to $14,999",686.0,2010,Wheat Ridge
8124,Weld County (DRCOG),"Household Income $10,000 to $14,999",459.0,2010,Weld County (DRCOG)
8000,Region,"Household Income $10,000 to $14,999",46093.0,2010,Region
3455,Arvada,"Household Income $15,000 to $24,999",3440.0,2010,Arvada
4000,Aurora,"Household Income $15,000 to $24,999",13341.0,2010,Aurora
6090,Bennett,"Household Income $15,000 to $24,999",43.0,2010,Bennett
7025,Black Hawk,"Household Income $15,000 to $24,999",9.0,2010,Black Hawk
7850,Boulder City,"Household Income $15,000 to $24,999",4245.0,2010,Boulder City
8001,Adams County,"Household Income $15,000 to $24,999",14857.0,2010,Adams County
8005,Arapahoe County,"Household Income $15,000 to $24,999",18735.0,2010,Arapahoe County
8013,Boulder County,"Household Income $15,000 to $24,999",9879.0,2010,Boulder County
8014,Broomfield City/County,"Household Income $15,000 to $24,999",1326.0,2010,Broomfield City/County
8019,Clear Creek County,"Household Income $15,000 to $24,999",330.0,2010,Clear Creek County
8031,Denver City/County,"Household Income $15,000 to $24,999",30394.0,2010,Denver City/County
8035,Douglas County,"Household Income $15,000 to $24,999",2844.0,2010,Douglas County
8047,Gilpin County,"Household Income $15,000 to $24,999",321.0,2010,Gilpin County
8059,Jefferson County,"Household Income $15,000 to $24,999",17276.0,2010,Jefferson County
8070,Bow Mar,"Household Income $15,000 to $24,999",10.0,2010,Bow Mar
8123,Weld County,"Household Income $15,000 to $24,999",8743.0,2010,Weld County
8675,Brighton,"Household Income $15,000 to $24,999",723.0,2010,Brighton
12390,Castle Pines North,"Household Income $15,000 to $24,999",111.0,2010,Castle Pines North
12415,Castle Rock,"Household Income $15,000 to $24,999",594.0,2010,Castle Rock
12815,Centennial,"Household Income $15,000 to $24,999",1604.0,2010,Centennial
12910,Central City,"Household Income $15,000 to $24,999",74.0,2010,Central City
13845,Cherry Hills Village,"Household Income $15,000 to $24,999",0.0,2010,Cherry Hills Village
16385,Columbine Valley,"Household Income $15,000 to $24,999",18.0,2010,Columbine Valley
16495,Commerce City,"Household Income $15,000 to $24,999",1122.0,2010,Commerce City
19080,Dacono,"Household Income $15,000 to $24,999",109.0,2010,Dacono
19630,Deer Trail,"Household Income $15,000 to $24,999",10.0,2010,Deer Trail
23135,Edgewater,"Household Income $15,000 to $24,999",248.0,2010,Edgewater
23740,Elizabeth,"Household Income $15,000 to $24,999",17.0,2010,Elizabeth
24620,Empire,"Household Income $15,000 to $24,999",6.0,2010,Empire
24785,Englewood,"Household Income $15,000 to $24,999",1692.0,2010,Englewood
24950,Erie,"Household Income $15,000 to $24,999",116.0,2010,Erie
26270,Federal Heights,"Household Income $15,000 to $24,999",872.0,2010,Federal Heights
26600,Firestone,"Household Income $15,000 to $24,999",109.0,2010,Firestone
27700,Fort Lupton,"Household Income $15,000 to $24,999",349.0,2010,Fort Lupton
28105,Foxfield,"Household Income $15,000 to $24,999",14.0,2010,Foxfield
28360,Frederick,"Household Income $15,000 to $24,999",128.0,2010,Frederick
29735,Georgetown,"Household Income $15,000 to $24,999",38.0,2010,Georgetown
30340,Glendale,"Household Income $15,000 to $24,999",314.0,2010,Glendale
30835,Golden,"Household Income $15,000 to $24,999",764.0,2010,Golden
33035,Greenwood Village,"Household Income $15,000 to $24,999",301.0,2010,Greenwood Village
37820,Hudson,"Household Income $15,000 to $24,999",88.0,2010,Hudson
38370,Idaho Springs,"Household Income $15,000 to $24,999",64.0,2010,Idaho Springs
39195,Jamestown,"Household Income $15,000 to $24,999",9.0,2010,Jamestown
40185,Keenesburg,"Household Income $15,000 to $24,999",69.0,2010,Keenesburg
40790,Kiowa,"Household Income $15,000 to $24,999",34.0,2010,Kiowa
41835,Lafayette,"Household Income $15,000 to $24,999",713.0,2010,Lafayette
42495,Lakeside,"Household Income $15,000 to $24,999",0.0,2010,Lakeside
43000,Lakewood,"Household Income $15,000 to $24,999",6452.0,2010,Lakewood
43550,Larkspur,"Household Income $15,000 to $24,999",14.0,2010,Larkspur
45255,Littleton,"Household Income $15,000 to $24,999",1796.0,2010,Littleton
45955,Lone Tree,"Household Income $15,000 to $24,999",141.0,2010,Lone Tree
45970,Longmont,"Household Income $15,000 to $24,999",3258.0,2010,Longmont
46355,Louisville,"Household Income $15,000 to $24,999",471.0,2010,Louisville
47070,Lyons,"Household Income $15,000 to $24,999",43.0,2010,Lyons
49600,Mead,"Household Income $15,000 to $24,999",37.0,2010,Mead
52075,Morrison,"Household Income $15,000 to $24,999",3.0,2010,Morrison
52350,Mountain View,"Household Income $15,000 to $24,999",32.0,2010,Mountain View
53175,Nederland,"Household Income $15,000 to $24,999",52.0,2010,Nederland
54330,Northglenn,"Household Income $15,000 to $24,999",1517.0,2010,Northglenn
57630,Parker,"Household Income $15,000 to $24,999",563.0,2010,Parker
60160,Platteville,"Household Income $15,000 to $24,999",114.0,2010,Platteville
69645,Sheridan,"Household Income $15,000 to $24,999",314.0,2010,Sheridan
70360,Silver Plume,"Household Income $15,000 to $24,999",17.0,2010,Silver Plume
75640,Superior,"Household Income $15,000 to $24,999",281.0,2010,Superior
77290,Thornton,"Household Income $15,000 to $24,999",2842.0,2010,Thornton
82735,Ward,"Household Income $15,000 to $24,999",0.0,2010,Ward
83835,Westminster,"Household Income $15,000 to $24,999",3638.0,2010,Westminster
84440,Wheat Ridge,"Household Income $15,000 to $24,999",1878.0,2010,Wheat Ridge
8124,Weld County (DRCOG),"Household Income $15,000 to $24,999",1070.0,2010,Weld County (DRCOG)
8000,Region,"Household Income $15,000 to $24,999",97032.0,2010,Region
3455,Arvada,"Household Income $25,000 to $34,999",3585.0,2010,Arvada
4000,Aurora,"Household Income $25,000 to $34,999",13129.0,2010,Aurora
6090,Bennett,"Household Income $25,000 to $34,999",126.0,2010,Bennett
7025,Black Hawk,"Household Income $25,000 to $34,999",2.0,2010,Black Hawk
7850,Boulder City,"Household Income $25,000 to $34,999",4205.0,2010,Boulder City
8001,Adams County,"Household Income $25,000 to $34,999",14775.0,2010,Adams County
8005,Arapahoe County,"Household Income $25,000 to $34,999",21336.0,2010,Arapahoe County
8013,Boulder County,"Household Income $25,000 to $34,999",10412.0,2010,Boulder County
8014,Broomfield City/County,"Household Income $25,000 to $34,999",1500.0,2010,Broomfield City/County
8019,Clear Creek County,"Household Income $25,000 to $34,999",408.0,2010,Clear Creek County
8031,Denver City/County,"Household Income $25,000 to $34,999",28290.0,2010,Denver City/County
8035,Douglas County,"Household Income $25,000 to $34,999",3936.0,2010,Douglas County
8047,Gilpin County,"Household Income $25,000 to $34,999",351.0,2010,Gilpin County
8059,Jefferson County,"Household Income $25,000 to $34,999",18135.0,2010,Jefferson County
8070,Bow Mar,"Household Income $25,000 to $34,999",7.0,2010,Bow Mar
8123,Weld County,"Household Income $25,000 to $34,999",8188.0,2010,Weld County
8675,Brighton,"Household Income $25,000 to $34,999",1012.0,2010,Brighton
12390,Castle Pines North,"Household Income $25,000 to $34,999",63.0,2010,Castle Pines North
12415,Castle Rock,"Household Income $25,000 to $34,999",960.0,2010,Castle Rock
12815,Centennial,"Household Income $25,000 to $34,999",1875.0,2010,Centennial
12910,Central City,"Household Income $25,000 to $34,999",59.0,2010,Central City
13845,Cherry Hills Village,"Household Income $25,000 to $34,999",35.0,2010,Cherry Hills Village
16385,Columbine Valley,"Household Income $25,000 to $34,999",12.0,2010,Columbine Valley
16495,Commerce City,"Household Income $25,000 to $34,999",1034.0,2010,Commerce City
19080,Dacono,"Household Income $25,000 to $34,999",193.0,2010,Dacono
19630,Deer Trail,"Household Income $25,000 to $34,999",11.0,2010,Deer Trail
23135,Edgewater,"Household Income $25,000 to $34,999",457.0,2010,Edgewater
23740,Elizabeth,"Household Income $25,000 to $34,999",35.0,2010,Elizabeth
24620,Empire,"Household Income $25,000 to $34,999",5.0,2010,Empire
24785,Englewood,"Household Income $25,000 to $34,999",1952.0,2010,Englewood
24950,Erie,"Household Income $25,000 to $34,999",195.0,2010,Erie
26270,Federal Heights,"Household Income $25,000 to $34,999",853.0,2010,Federal Heights
26600,Firestone,"Household Income $25,000 to $34,999",74.0,2010,Firestone
27700,Fort Lupton,"Household Income $25,000 to $34,999",288.0,2010,Fort Lupton
28105,Foxfield,"Household Income $25,000 to $34,999",9.0,2010,Foxfield
28360,Frederick,"Household Income $25,000 to $34,999",53.0,2010,Frederick
29735,Georgetown,"Household Income $25,000 to $34,999",41.0,2010,Georgetown
30340,Glendale,"Household Income $25,000 to $34,999",299.0,2010,Glendale
30835,Golden,"Household Income $25,000 to $34,999",812.0,2010,Golden
33035,Greenwood Village,"Household Income $25,000 to $34,999",292.0,2010,Greenwood Village
37820,Hudson,"Household Income $25,000 to $34,999",51.0,2010,Hudson
38370,Idaho Springs,"Household Income $25,000 to $34,999",141.0,2010,Idaho Springs
39195,Jamestown,"Household Income $25,000 to $34,999",9.0,2010,Jamestown
40185,Keenesburg,"Household Income $25,000 to $34,999",24.0,2010,Keenesburg
40790,Kiowa,"Household Income $25,000 to $34,999",31.0,2010,Kiowa
41835,Lafayette,"Household Income $25,000 to $34,999",758.0,2010,Lafayette
42495,Lakeside,"Household Income $25,000 to $34,999",0.0,2010,Lakeside
43000,Lakewood,"Household Income $25,000 to $34,999",6656.0,2010,Lakewood
43550,Larkspur,"Household Income $25,000 to $34,999",3.0,2010,Larkspur
45255,Littleton,"Household Income $25,000 to $34,999",2008.0,2010,Littleton
45955,Lone Tree,"Household Income $25,000 to $34,999",149.0,2010,Lone Tree
45970,Longmont,"Household Income $25,000 to $34,999",3166.0,2010,Longmont
46355,Louisville,"Household Income $25,000 to $34,999",685.0,2010,Louisville
47070,Lyons,"Household Income $25,000 to $34,999",65.0,2010,Lyons
49600,Mead,"Household Income $25,000 to $34,999",69.0,2010,Mead
52075,Morrison,"Household Income $25,000 to $34,999",10.0,2010,Morrison
52350,Mountain View,"Household Income $25,000 to $34,999",53.0,2010,Mountain View
53175,Nederland,"Household Income $25,000 to $34,999",82.0,2010,Nederland
54330,Northglenn,"Household Income $25,000 to $34,999",1411.0,2010,Northglenn
57630,Parker,"Household Income $25,000 to $34,999",744.0,2010,Parker
60160,Platteville,"Household Income $25,000 to $34,999",108.0,2010,Platteville
69645,Sheridan,"Household Income $25,000 to $34,999",507.0,2010,Sheridan
70360,Silver Plume,"Household Income $25,000 to $34,999",11.0,2010,Silver Plume
75640,Superior,"Household Income $25,000 to $34,999",191.0,2010,Superior
77290,Thornton,"Household Income $25,000 to $34,999",3139.0,2010,Thornton
82735,Ward,"Household Income $25,000 to $34,999",8.0,2010,Ward
83835,Westminster,"Household Income $25,000 to $34,999",3539.0,2010,Westminster
84440,Wheat Ridge,"Household Income $25,000 to $34,999",1741.0,2010,Wheat Ridge
8124,Weld County (DRCOG),"Household Income $25,000 to $34,999",1169.0,2010,Weld County (DRCOG)
8000,Region,"Household Income $25,000 to $34,999",100312.0,2010,Region
3455,Arvada,"Household Income $35,000 to $49,999",5870.0,2010,Arvada
